Julian Day,Level1,Level2
1,388.29,386.95
2,388.25,386.9
3,388.21,386.86
4,388.16,386.81
5,388.12,386.77
6,388.08,386.72
7,388.04,386.68
8,388,386.63
9,387.95,386.58
10,387.91,386.54
11,387.87,386.49
12,387.83,386.45
13,387.78,386.4
14,387.74,386.35
15,387.7,386.3
16,387.66,386.26
17,387.61,386.21
18,387.57,386.16
19,387.53,386.12
20,387.48,386.07
21,387.44,386.02
22,387.39,385.97
23,387.35,385.92
24,387.31,385.88
25,387.26,385.83
26,387.22,385.78
27,387.17,385.73
28,387.13,385.68
29,387.08,385.63
30,387.04,385.58
31,386.99,385.53
32,386.95,385.48
33,386.88,385.41
34,386.82,385.34
35,386.75,385.27
36,386.69,385.19
37,386.62,385.12
38,386.56,385.05
39,386.49,384.97
40,386.42,384.9
41,386.35,384.83
42,386.29,384.75
43,386.22,384.68
44,386.15,384.6
45,386.08,384.52
46,386.01,384.45
47,385.94,384.37
48,385.87,384.29
49,385.8,384.21
50,385.73,384.14
51,385.66,384.06
52,385.59,383.98
53,385.52,383.9
54,385.45,383.82
55,385.38,383.74
56,385.31,383.66
57,385.23,383.58
58,385.16,383.49
59,385.09,383.41
60,385.01,383.33
61,384.96,383.27
62,384.91,383.21
63,384.86,383.15
64,384.81,383.09
65,384.76,383.04
66,384.7,382.98
67,384.65,382.92
68,384.6,382.86
69,384.55,382.8
70,384.49,382.74
71,384.44,382.68
72,384.39,382.61
73,384.33,382.55
74,384.28,382.49
75,384.22,382.43
76,384.17,382.37
77,384.12,382.3
78,384.06,382.24
79,384.01,382.18
80,383.95,382.11
81,383.89,382.05
82,383.84,381.99
83,383.78,381.92
84,383.73,381.86
85,383.67,381.79
86,383.61,381.72
87,383.56,381.66
88,383.5,381.59
89,383.44,381.52
90,383.39,381.46
91,383.33,381.39
92,383.36,381.42
93,383.39,381.46
94,383.42,381.49
95,383.45,381.53
96,383.48,381.56
97,383.51,381.6
98,383.54,381.63
99,383.57,381.67
100,383.59,381.7
101,383.62,381.74
102,383.65,381.77
103,383.68,381.8
104,383.71,381.84
105,383.74,381.87
106,383.77,381.9
107,383.8,381.94
108,383.83,381.97
109,383.86,382
110,383.88,382.04
111,383.91,382.07
112,383.94,382.1
113,383.97,382.14
114,384,382.17
115,384.03,382.2
116,384.06,382.24
117,384.08,382.27
118,384.11,382.3
119,384.14,382.33
120,384.17,382.37
121,384.2,382.4
122,384.24,382.45
123,384.28,382.5
124,384.33,382.55
125,384.37,382.6
126,384.41,382.64
127,384.45,382.69
128,384.5,382.74
129,384.54,382.79
130,384.58,382.84
131,384.62,382.89
132,384.67,382.93
133,384.71,382.98
134,384.75,383.03
135,384.79,383.08
136,384.83,383.12
137,384.87,383.17
138,384.92,383.22
139,384.96,383.26
140,385,383.31
141,385.04,383.36
142,385.08,383.4
143,385.12,383.45
144,385.16,383.5
145,385.2,383.54
146,385.24,383.59
147,385.28,383.63
148,385.32,383.68
149,385.36,383.72
150,385.4,383.77
151,385.44,383.81
152,385.48,383.86
153,385.53,383.91
154,385.59,383.97
155,385.64,384.03
156,385.69,384.08
157,385.74,384.14
158,385.79,384.2
159,385.84,384.25
160,385.89,384.31
161,385.94,384.36
162,385.99,384.42
163,386.04,384.47
164,386.09,384.53
165,386.14,384.58
166,386.19,384.64
167,386.23,384.69
168,386.28,384.75
169,386.33,384.8
170,386.38,384.85
171,386.43,384.91
172,386.48,384.96
173,386.52,385.01
174,386.57,385.07
175,386.62,385.12
176,386.67,385.17
177,386.71,385.22
178,386.76,385.28
179,386.81,385.33
180,386.86,385.38
181,386.9,385.43
182,386.95,385.48
183,386.98,385.52
184,387.01,385.55
185,387.04,385.59
186,387.08,385.62
187,387.11,385.66
188,387.14,385.69
189,387.17,385.72
190,387.2,385.76
191,387.23,385.79
192,387.26,385.83
193,387.29,385.86
194,387.32,385.9
195,387.36,385.93
196,387.39,385.96
197,387.42,386
198,387.45,386.03
199,387.48,386.06
200,387.51,386.1
201,387.54,386.13
202,387.57,386.16
203,387.6,386.2
204,387.63,386.23
205,387.66,386.26
206,387.69,386.3
207,387.72,386.33
208,387.75,386.36
209,387.78,386.39
210,387.81,386.43
211,387.84,386.46
212,387.87,386.49
213,387.9,386.52
214,387.92,386.55
215,387.94,386.57
216,387.96,386.59
217,387.98,386.62
218,388.01,386.64
219,388.03,386.66
220,388.05,386.69
221,388.07,386.71
222,388.09,386.73
223,388.11,386.75
224,388.13,386.78
225,388.15,386.8
226,388.17,386.82
227,388.19,386.85
228,388.21,386.87
229,388.23,386.89
230,388.26,386.91
231,388.28,386.94
232,388.3,386.96
233,388.32,386.98
234,388.34,387
235,388.36,387.03
236,388.38,387.05
237,388.4,387.07
238,388.42,387.09
239,388.44,387.12
240,388.46,387.14
241,388.48,387.16
242,388.5,387.18
243,388.52,387.2
244,388.54,387.23
245,388.56,387.25
246,388.58,387.27
247,388.6,387.3
248,388.62,387.32
249,388.65,387.34
250,388.67,387.36
251,388.69,387.39
252,388.71,387.41
253,388.73,387.43
254,388.75,387.45
255,388.77,387.48
256,388.79,387.5
257,388.81,387.52
258,388.83,387.54
259,388.85,387.57
260,388.87,387.59
261,388.89,387.61
262,388.91,387.63
263,388.93,387.66
264,388.95,387.68
265,388.97,387.7
266,388.99,387.72
267,389.01,387.75
268,389.03,387.77
269,389.06,387.79
270,389.08,387.81
271,389.1,387.83
272,389.12,387.86
273,389.14,387.88
274,389.16,387.9
275,389.18,387.92
276,389.19,387.94
277,389.21,387.96
278,389.23,387.98
279,389.25,388.01
280,389.27,388.03
281,389.29,388.05
282,389.31,388.07
283,389.33,388.09
284,389.35,388.11
285,389.37,388.13
286,389.39,388.15
287,389.41,388.17
288,389.43,388.19
289,389.44,388.21
290,389.46,388.23
291,389.48,388.26
292,389.5,388.28
293,389.52,388.3
294,389.54,388.32
295,389.56,388.34
296,389.58,388.36
297,389.6,388.38
298,389.62,388.4
299,389.63,388.42
300,389.65,388.44
301,389.67,388.46
302,389.69,388.48
303,389.71,388.5
304,389.73,388.52
305,389.75,388.54
306,389.73,388.52
307,389.71,388.5
308,389.69,388.48
309,389.67,388.46
310,389.65,388.44
311,389.63,388.42
312,389.61,388.39
313,389.59,388.37
314,389.57,388.35
315,389.55,388.33
316,389.53,388.31
317,389.51,388.29
318,389.49,388.27
319,389.47,388.25
320,389.45,388.22
321,389.43,388.2
322,389.41,388.18
323,389.4,388.16
324,389.38,388.14
325,389.36,388.12
326,389.34,388.1
327,389.32,388.07
328,389.3,388.05
329,389.28,388.03
330,389.26,388.01
331,389.24,387.99
332,389.22,387.97
333,389.2,387.94
334,389.18,387.92
335,389.16,387.9
336,389.13,387.87
337,389.1,387.84
338,389.07,387.81
339,389.05,387.78
340,389.02,387.75
341,388.99,387.72
342,388.96,387.69
343,388.94,387.66
344,388.91,387.63
345,388.88,387.6
346,388.85,387.57
347,388.83,387.54
348,388.8,387.51
349,388.77,387.48
350,388.74,387.45
351,388.71,387.42
352,388.69,387.39
353,388.66,387.36
354,388.63,387.32
355,388.6,387.29
356,388.57,387.26
357,388.55,387.23
358,388.52,387.2
359,388.49,387.17
360,388.46,387.14
361,388.43,387.11
362,388.4,387.08
363,388.37,387.04
364,388.35,387.01
365,388.32,386.98
366,388.32,386.98
