Julian Day,Level0,Level1,Level2
1,4.5,4,3.5
2,4.5,4,3.5
3,4.5,4,3.5
4,4.5,4,3.5
5,4.5,4,3.5
6,4.5,4,3.5
7,4.5,4,3.5
8,4.5,4,3.5
9,4.5,4,3.5
10,4.5,4,3.5
11,4.5,4,3.5
12,4.5,4,3.5
13,4.5,4,3.5
14,4.5,4,3.5
15,4.5,4,3.5
16,4.5,4,3.5
17,4.5,4,3.5
18,4.5,4,3.5
19,4.5,4,3.5
20,4.5,4,3.5
21,4.5,4,3.5
22,4.5,4,3.5
23,4.5,4,3.5
24,4.5,4,3.5
25,4.5,4,3.5
26,4.5,4,3.5
27,4.5,4,3.5
28,4.5,4,3.5
29,4.5,4,3.5
30,4.5,4,3.5
31,4.5,4,3.5
32,4.5,4,3.5
33,4.5,4,3.5
34,4.5,4,3.5
35,4.5,4,3.5
36,4.5,4,3.5
37,4.5,4,3.5
38,4.5,4,3.5
39,4.5,4,3.5
40,4.5,4,3.5
41,4.5,4,3.5
42,4.5,4,3.5
43,4.5,4,3.5
44,4.5,4,3.5
45,4.5,4,3.5
46,4.5,4,3.5
47,4.5,4,3.5
48,4.5,4,3.5
49,4.5,4,3.5
50,4.5,4,3.5
51,4.5,4,3.5
52,4.5,4,3.5
53,4.5,4,3.5
54,4.5,4,3.5
55,4.5,4,3.5
56,4.5,4,3.5
57,4.5,4,3.5
58,4.5,4,3.5
59,4.5,4,3.5
60,7,6,3.5
61,7,6,3.5
62,7,6,3.5
63,7,6,3.5
64,7,6,3.5
65,7,6,3.5
66,7,6,3.5
67,7,6,3.5
68,7,6,3.5
69,7,6,3.5
70,7,6,3.5
71,7,6,3.5
72,7,6,3.5
73,7,6,3.5
74,7,6,3.5
75,7,6,3.5
76,7,6,3.5
77,7,6,3.5
78,7,6,3.5
79,7,6,3.5
80,7,6,3.5
81,7,6,3.5
82,7,6,3.5
83,7,6,3.5
84,7,6,3.5
85,7,6,3.5
86,7,6,3.5
87,7,6,3.5
88,7,6,3.5
89,7,6,3.5
90,7,6,3.5
91,7,6,3.5
92,7,6,3.5
93,7,6,3.5
94,7,6,3.5
95,7,6,3.5
96,7,6,3.5
97,7,6,3.5
98,7,6,3.5
99,7,6,3.5
100,7,6,3.5
101,7,6,3.5
102,7,6,3.5
103,7,6,3.5
104,7,6,3.5
105,7,6,3.5
106,7,6,3.5
107,7,6,3.5
108,7,6,3.5
109,7,6,3.5
110,7,6,3.5
111,7,6,3.5
112,7,6,3.5
113,7,6,3.5
114,7,6,3.5
115,7,6,3.5
116,7,6,3.5
117,7,6,3.5
118,7,6,3.5
119,7,6,3.5
120,7,6,3.5
121,4.5,4,3.5
122,4.5,4,3.5
123,4.5,4,3.5
124,4.5,4,3.5
125,4.5,4,3.5
126,4.5,4,3.5
127,4.5,4,3.5
128,4.5,4,3.5
129,4.5,4,3.5
