Julian Day,Level0,Level1,Level2
1,3.8,3.4,3.4
2,3.8,3.4,3.4
3,3.8,3.4,3.4
4,3.8,3.4,3.4
5,3.8,3.4,3.4
6,3.8,3.4,3.4
7,3.8,3.4,3.4
8,3.8,3.4,3.4
9,3.8,3.4,3.4
10,3.8,3.4,3.4
11,3.8,3.4,3.4
12,3.8,3.4,3.4
13,3.8,3.4,3.4
14,3.8,3.4,3.4
15,3.8,3.4,3.4
16,3.8,3.4,3.4
17,3.8,3.4,3.4
18,3.8,3.4,3.4
19,3.8,3.4,3.4
20,3.8,3.4,3.4
21,3.8,3.4,3.4
22,3.8,3.4,3.4
23,3.8,3.4,3.4
24,3.8,3.4,3.4
25,3.8,3.4,3.4
26,3.8,3.4,3.4
27,3.8,3.4,3.4
28,3.8,3.4,3.4
29,3.8,3.4,3.4
30,3.8,3.4,3.4
31,3.8,3.4,3.4
32,3.8,3.4,3.4
33,3.8,3.4,3.4
34,3.8,3.4,3.4
35,3.8,3.4,3.4
36,3.8,3.4,3.4
37,3.8,3.4,3.4
38,3.8,3.4,3.4
39,3.8,3.4,3.4
40,3.8,3.4,3.4
41,3.8,3.4,3.4
42,3.8,3.4,3.4
43,3.8,3.4,3.4
44,3.8,3.4,3.4
45,3.8,3.4,3.4
46,3.8,3.4,3.4
47,3.8,3.4,3.4
48,3.8,3.4,3.4
49,3.8,3.4,3.4
50,3.8,3.4,3.4
51,3.8,3.4,3.4
52,3.8,3.4,3.4
53,3.8,3.4,3.4
54,3.8,3.4,3.4
55,3.8,3.4,3.4
56,3.8,3.4,3.4
57,3.8,3.4,3.4
58,3.8,3.4,3.4
59,3.8,3.4,3.4
60,7.8,6.4,5.4
61,7.8,6.4,5.4
62,7.8,6.4,5.4
63,7.8,6.4,5.4
64,7.8,6.4,5.4
65,7.8,6.4,5.4
66,7.8,6.4,5.4
67,7.8,6.4,5.4
68,7.8,6.4,5.4
69,7.8,6.4,5.4
70,7.8,6.4,5.4
71,7.8,6.4,5.4
72,7.8,6.4,5.4
73,7.8,6.4,5.4
74,7.8,6.4,5.4
75,7.8,6.4,5.4
76,7.8,6.4,5.4
77,7.8,6.4,5.4
78,7.8,6.4,5.4
79,7.8,6.4,5.4
80,7.8,6.4,5.4
81,7.8,6.4,5.4
82,7.8,6.4,5.4
83,7.8,6.4,5.4
84,7.8,6.4,5.4
85,7.8,6.4,5.4
86,7.8,6.4,5.4
87,7.8,6.4,5.4
88,7.8,6.4,5.4
89,7.8,6.4,5.4
90,7.8,6.4,5.4
91,9,8,5.6
92,9,8,5.6
93,9,8,5.6
94,9,8,5.6
95,9,8,5.6
96,9,8,5.6
97,9,8,5.6
98,9,8,5.6
99,9,8,5.6
100,9,8,5.6
101,9,8,5.6
102,9,8,5.6
103,9,8,5.6
104,9,8,5.6
105,9,8,5.6
106,9,8,5.6
107,9,8,5.6
108,9,8,5.6
109,9,8,5.6
110,9,8,5.6
111,9,8,5.6
112,9,8,5.6
113,9,8,5.6
114,9,8,5.6
115,9,8,5.6
116,9,8,5.6
117,9,8,5.6
118,9,8,5.6
119,9,8,5.6
120,9,8,5.6
121,5.3,4.5,3.9
122,5.3,4.5,3.9
123,5.3,4.5,3.9
124,5.3,4.5,3.9
125,5.3,4.5,3.9
126,5.3,4.5,3.9
127,5.3,4.5,3.9
128,5.3,4.5,3.9
129,5.3,4.5,3.9
130,5.3,4.5,3.9
131,5.3,4.5,3.9
132,5.3,4.5,3.9
133,5.3,4.5,3.9
134,5.3,4.5,3.9
135,5.3,4.5,3.9
136,5.3,4.5,3.9
137,5.3,4.5,3.9
138,5.3,4.5,3.9
139,5.3,4.5,3.9
140,5.3,4.5,3.9
141,5.3,4.5,3.9
142,5.3,4.5,3.9
143,5.3,4.5,3.9
144,5.3,4.5,3.9
145,5.3,4.5,3.9
146,5.3,4.5,3.9
147,5.3,4.5,3.9
148,5.3,4.5,3.9
149,5.3,4.5,3.9
150,5.3,4.5,3.9
151,5.3,4.5,3.9
152,4.8,4,3.6
153,4.8,4,3.6
154,4.8,4,3.6
155,4.8,4,3.6
156,4.8,4,3.6
157,4.8,4,3.6
158,4.8,4,3.6
159,4.8,4,3.6
160,4.8,4,3.6
161,4.8,4,3.6
162,4.8,4,3.6
163,4.8,4,3.6
164,4.8,4,3.6
165,4.8,4,3.6
166,4.8,4,3.6
167,4.8,4,3.6
168,4.8,4,3.6
169,4.8,4,3.6
170,4.8,4,3.6
171,4.8,4,3.6
172,4.8,4,3.6
173,4.8,4,3.6
174,4.8,4,3.6
175,4.8,4,3.6
176,4.8,4,3.6
177,4.8,4,3.6
178,4.8,4,3.6
179,4.8,4,3.6
180,4.8,4,3.6
181,4.8,4,3.6
182,4.8,4,3.6
183,4.8,4,3.6
184,4.8,4,3.6
185,4.8,4,3.6
186,4.8,4,3.6
187,4.8,4,3.6
188,4.8,4,3.6
189,4.8,4,3.6
190,4.8,4,3.6
191,4.8,4,3.6
192,4.8,4,3.6
193,4.8,4,3.6
194,4.8,4,3.6
195,4.8,4,3.6
196,4.8,4,3.6
197,4.8,4,3.6
198,4.8,4,3.6
199,4.8,4,3.6
200,4.8,4,3.6
201,4.8,4,3.6
202,4.8,4,3.6
203,4.8,4,3.6
204,4.8,4,3.6
205,4.8,4,3.6
206,4.8,4,3.6
207,4.8,4,3.6
208,4.8,4,3.6
209,4.8,4,3.6
210,4.8,4,3.6
211,4.8,4,3.6
212,4.8,4,3.6
213,5.2,4.5,3.9
214,5.2,4.5,3.9
215,5.2,4.5,3.9
216,5.2,4.5,3.9
217,5.2,4.5,3.9
218,5.2,4.5,3.9
219,5.2,4.5,3.9
220,5.2,4.5,3.9
221,5.2,4.5,3.9
222,5.2,4.5,3.9
223,5.2,4.5,3.9
224,5.2,4.5,3.9
225,5.2,4.5,3.9
226,5.2,4.5,3.9
227,5.2,4.5,3.9
228,5.2,4.5,3.9
229,5.2,4.5,3.9
230,5.2,4.5,3.9
231,5.2,4.5,3.9
232,5.2,4.5,3.9
233,5.2,4.5,3.9
234,5.2,4.5,3.9
235,5.2,4.5,3.9
236,5.2,4.5,3.9
237,5.2,4.5,3.9
238,5.2,4.5,3.9
239,5.2,4.5,3.9
240,5.2,4.5,3.9
241,5.2,4.5,3.9
242,5.2,4.5,3.9
243,5.2,4.5,3.9
244,6.6,5.3,4.6
245,6.6,5.3,4.6
246,6.6,5.3,4.6
247,6.6,5.3,4.6
248,6.6,5.3,4.6
249,6.6,5.3,4.6
250,6.6,5.3,4.6
251,6.6,5.3,4.6
252,6.6,5.3,4.6
253,6.6,5.3,4.6
254,6.6,5.3,4.6
255,6.6,5.3,4.6
256,6.6,5.3,4.6
257,6.6,5.3,4.6
258,6.6,5.3,4.6
259,6.6,5.3,4.6
260,6.6,5.3,4.6
261,6.6,5.3,4.6
262,6.6,5.3,4.6
263,6.6,5.3,4.6
264,6.6,5.3,4.6
265,6.6,5.3,4.6
266,6.6,5.3,4.6
267,6.6,5.3,4.6
268,6.6,5.3,4.6
269,6.6,5.3,4.6
270,6.6,5.3,4.6
271,6.6,5.3,4.6
272,6.6,5.3,4.6
273,6.6,5.3,4.6
274,9.4,7.2,5.9
275,9.4,7.2,5.9
276,9.4,7.2,5.9
277,9.4,7.2,5.9
278,9.4,7.2,5.9
279,9.4,7.2,5.9
280,9.4,7.2,5.9
281,9.4,7.2,5.9
282,9.4,7.2,5.9
283,9.4,7.2,5.9
284,9.4,7.2,5.9
285,9.4,7.2,5.9
286,9.4,7.2,5.9
287,9.4,7.2,5.9
288,9.4,7.2,5.9
289,9.4,7.2,5.9
290,9.4,7.2,5.9
291,9.4,7.2,5.9
292,9.4,7.2,5.9
293,9.4,7.2,5.9
294,9.4,7.2,5.9
295,9.4,7.2,5.9
296,9.4,7.2,5.9
297,9.4,7.2,5.9
298,9.4,7.2,5.9
299,9.4,7.2,5.9
300,9.4,7.2,5.9
301,9.4,7.2,5.9
302,9.4,7.2,5.9
303,9.4,7.2,5.9
304,9.4,7.2,5.9
305,7.3,6.1,5.1
306,7.3,6.1,5.1
307,7.3,6.1,5.1
308,7.3,6.1,5.1
309,7.3,6.1,5.1
310,7.3,6.1,5.1
311,7.3,6.1,5.1
312,7.3,6.1,5.1
313,7.3,6.1,5.1
314,7.3,6.1,5.1
315,7.3,6.1,5.1
316,7.3,6.1,5.1
317,7.3,6.1,5.1
318,7.3,6.1,5.1
319,7.3,6.1,5.1
320,7.3,6.1,5.1
321,7.3,6.1,5.1
322,7.3,6.1,5.1
323,7.3,6.1,5.1
324,7.3,6.1,5.1
325,7.3,6.1,5.1
326,7.3,6.1,5.1
327,7.3,6.1,5.1
328,7.3,6.1,5.1
329,7.3,6.1,5.1
330,7.3,6.1,5.1
331,7.3,6.1,5.1
332,7.3,6.1,5.1
333,7.3,6.1,5.1
334,7.3,6.1,5.1
335,6.3,5.3,4.6
336,6.3,5.3,4.6
337,6.3,5.3,4.6
338,6.3,5.3,4.6
339,6.3,5.3,4.6
340,6.3,5.3,4.6
341,6.3,5.3,4.6
342,6.3,5.3,4.6
343,6.3,5.3,4.6
344,6.3,5.3,4.6
345,6.3,5.3,4.6
346,6.3,5.3,4.6
347,6.3,5.3,4.6
348,6.3,5.3,4.6
349,6.3,5.3,4.6
350,6.3,5.3,4.6
351,6.3,5.3,4.6
352,6.3,5.3,4.6
353,6.3,5.3,4.6
354,6.3,5.3,4.6
355,6.3,5.3,4.6
356,6.3,5.3,4.6
357,6.3,5.3,4.6
358,6.3,5.3,4.6
359,6.3,5.3,4.6
360,6.3,5.3,4.6
361,6.3,5.3,4.6
362,6.3,5.3,4.6
363,6.3,5.3,4.6
364,6.3,5.3,4.6
365,6.3,5.3,4.6
366,6.3,5.3,4.6
