Lake Level (masl),Area (Ha),Available Volume (m3)
350.4,1,-5133
350.5,1,-5133
350.6,1,-5133
350.7,2,-5133
350.8,2,-5133
350.9,3,-5133
351,3,-5132
351.1,4,-5132
351.2,4,-5132
351.3,4,-5131
351.4,5,-5131
351.5,5,-5130
351.6,6,-5129
351.7,6,-5128
351.8,7,-5127
351.9,7,-5126
352,8,-5125
352.1,8,-5124
352.2,9,-5123
352.3,9,-5122
352.4,9,-5121
352.5,10,-5119
352.6,10,-5118
352.7,11,-5116
352.8,11,-5114
352.9,12,-5113
353,12,-5111
353.1,13,-5109
353.2,13,-5107
353.3,13,-5105
353.4,14,-5103
353.5,14,-5101
353.6,15,-5099
353.7,15,-5097
353.8,16,-5094
353.9,16,-5092
354,17,-5089
354.1,17,-5087
354.2,18,-5084
354.3,18,-5081
354.4,18,-5078
354.5,19,-5075
354.6,19,-5072
354.7,20,-5068
354.8,20,-5065
354.9,21,-5061
355,21,-5057
355.1,22,-5053
355.2,22,-5049
355.3,22,-5045
355.4,23,-5040
355.5,23,-5036
355.6,24,-5031
355.7,24,-5026
355.8,25,-5021
355.9,25,-5016
356,26,-5011
356.1,26,-5005
356.2,27,-5000
356.3,27,-4994
356.4,27,-4988
356.5,28,-4982
356.6,28,-4976
356.7,29,-4970
356.8,29,-4963
356.9,30,-4956
357,30,-4949
357.1,31,-4942
357.2,31,-4934
357.3,31,-4926
357.4,32,-4918
357.5,32,-4909
357.6,33,-4900
357.7,33,-4891
357.8,34,-4882
357.9,34,-4872
358,35,-4862
358.1,35,-4851
358.2,36,-4841
358.3,36,-4830
358.4,36,-4819
358.5,37,-4807
358.6,37,-4795
358.7,38,-4783
358.8,38,-4771
358.9,39,-4758
359,39,-4745
359.1,40,-4732
359.2,40,-4718
359.3,40,-4705
359.4,41,-4690
359.5,41,-4676
359.6,42,-4661
359.7,42,-4646
359.8,43,-4630
359.9,43,-4614
360,44,-4598
360.1,44,-4581
360.2,45,-4564
360.3,45,-4547
360.4,45,-4529
360.5,46,-4511
360.6,46,-4493
360.7,47,-4475
360.8,47,-4456
360.9,48,-4437
361,48,-4417
361.1,49,-4397
361.2,49,-4377
361.3,49,-4356
361.4,50,-4335
361.5,50,-4313
361.6,51,-4291
361.7,51,-4268
361.8,52,-4245
361.9,52,-4222
