Julian Day,Level1,Level2
1,385,380
2,385,380
3,385,380
4,385,380
5,385,380
6,385,380
7,385,380
8,385,380
9,385,380
10,385,380
11,385,380
12,385,380
13,385,380
14,385,380
15,385,380
16,385,380
17,385,380
18,385,380
19,385,380
20,385,380
21,385,380
22,385,380
23,385,380
24,385,380
25,385,380
26,385,380
27,385,380
28,385,380
29,385,380
30,385,380
31,385,380
32,385,380
33,385,380
34,385,380
35,385,380
36,385,380
37,385,380
38,385,380
39,385,380
40,385,380
41,385,380
42,385,380
43,385,380
44,385,380
45,385,380
46,385,380
47,385,380
48,385,380
49,385,380
50,385,380
51,385,380
52,385,380
53,385,380
54,385,380
55,385,380
56,385,380
57,385,380
58,385,380
59,385,380
60,385,380
61,385,380
62,385,380
63,385,380
64,385,380
65,385,380
66,385,380
67,385,380
68,385,380
69,385,380
70,385,380
71,385,380
72,385,380
73,385,380
74,385,380
75,385,380
76,385,380
77,385,380
78,385,380
79,385,380
80,385,380
81,385,380
82,385,380
83,385,380
84,385,380
85,385,380
86,385,380
87,385,380
88,385,380
89,385,380
90,385,380
91,385,380
92,385,380
93,385,380
94,385,380
95,385,380
96,385,380
97,385,380
98,385,380
99,385,380
100,385,380
101,385,380
102,385,380
103,385,380
104,385,380
105,385,380
106,385,380
107,385,380
108,385,380
109,385,380
110,385,380
111,385,380
112,385,380
113,385,380
114,385,380
115,385,380
116,385,380
117,385,380
118,385,380
119,385,380
120,385,380
121,385,380
122,385,380
123,385,380
124,385,380
125,385,380
126,385,380
127,385,380
128,385,380
129,385,380
130,385,380
131,385,380
132,385,380
133,385,380
134,385,380
135,385,380
136,385,380
137,385,380
138,385,380
139,385,380
140,385,380
141,385,380
142,385,380
143,385,380
144,385,380
145,385,380
146,385,380
147,385,380
148,385,380
149,385,380
150,385,380
151,385,380
152,385,380
153,385,380
154,385,380
155,385,380
156,385,380
157,385,380
158,385,380
159,385,380
160,385,380
161,385,380
162,385,380
163,385,380
164,385,380
165,385,380
166,385,380
167,385,380
168,385,380
169,385,380
170,385,380
171,385,380
172,385,380
173,385,380
174,385,380
175,385,380
176,385,380
177,385,380
178,385,380
179,385,380
180,385,380
181,385,380
182,385,380
183,385,380
184,385,380
185,385,380
186,385,380
187,385,380
188,385,380
189,385,380
190,385,380
191,385,380
192,385,380
193,385,380
194,385,380
195,385,380
196,385,380
197,385,380
198,385,380
199,385,380
200,385,380
201,385,380
202,385,380
203,385,380
204,385,380
205,385,380
206,385,380
207,385,380
208,385,380
209,385,380
210,385,380
211,385,380
212,385,380
213,385,380
214,385,380
215,385,380
216,385,380
217,385,380
218,385,380
219,385,380
220,385,380
221,385,380
222,385,380
223,385,380
224,385,380
225,385,380
226,385,380
227,385,380
228,385,380
229,385,380
230,385,380
231,385,380
232,385,380
233,385,380
234,385,380
235,385,380
236,385,380
237,385,380
238,385,380
239,385,380
240,385,380
241,385,380
242,385,380
243,385,380
244,385,380
245,385,380
246,385,380
247,385,380
248,385,380
249,385,380
250,385,380
251,385,380
252,385,380
253,385,380
254,385,380
255,385,380
256,385,380
257,385,380
258,385,380
259,385,380
260,385,380
261,385,380
262,385,380
263,385,380
264,385,380
265,385,380
266,385,380
267,385,380
268,385,380
269,385,380
270,385,380
271,385,380
272,385,380
273,385,380
274,385,380
275,385,380
276,385,380
277,385,380
278,385,380
279,385,380
280,385,380
281,385,380
282,385,380
283,385,380
284,385,380
285,385,380
286,385,380
287,385,380
288,385,380
289,385,380
290,385,380
291,385,380
292,385,380
293,385,380
294,385,380
295,385,380
296,385,380
297,385,380
298,385,380
299,385,380
300,385,380
301,385,380
302,385,380
303,385,380
304,385,380
305,385,380
306,385,380
307,385,380
308,385,380
309,385,380
310,385,380
311,385,380
312,385,380
313,385,380
314,385,380
315,385,380
316,385,380
317,385,380
318,385,380
319,385,380
320,385,380
321,385,380
322,385,380
323,385,380
324,385,380
325,385,380
326,385,380
327,385,380
328,385,380
329,385,380
330,385,380
331,385,380
332,385,380
333,385,380
334,385,380
335,385,380
336,385,380
337,385,380
338,385,380
339,385,380
340,385,380
341,385,380
342,385,380
343,385,380
344,385,380
345,385,380
346,385,380
347,385,380
348,385,380
349,385,380
350,385,380
351,385,380
352,385,380
353,385,380
354,385,380
355,385,380
356,385,380
357,385,380
358,385,380
359,385,380
360,385,380
361,385,380
362,385,380
363,385,380
364,385,380
365,385,380
366,385,380
