Julian Day,Level1,Level2
1,387.5,380.1
2,387.5,380.1
3,387.5,380.1
4,387.5,380.1
5,387.5,380.1
6,387.5,380.1
7,387.5,380.1
8,387.5,380.1
9,387.5,380.1
10,387.5,380.1
11,387.5,380.1
12,387.5,380.1
13,387.5,380.1
14,387.5,380.1
15,387.5,380.1
16,387.5,380.1
17,387.5,380.1
18,387.5,380.1
19,387.5,380.1
20,387.5,380.1
21,387.5,380.1
22,387.5,380.1
23,387.5,380.1
24,387.5,380.1
25,387.5,380.1
26,387.5,380.1
27,387.5,380.1
28,387.5,380.1
29,387.5,380.1
30,387.5,380.1
31,387.5,380.1
32,388.3,375.1
33,388.3,375.1
34,388.3,375.1
35,388.3,375.1
36,388.3,375.1
37,388.3,375.1
38,388.3,375.1
39,388.3,375.1
40,388.3,375.1
41,388.3,375.1
42,388.3,375.1
43,388.3,375.1
44,388.3,375.1
45,388.3,375.1
46,388.3,375.1
47,388.3,375.1
48,388.3,375.1
49,388.3,375.1
50,388.3,375.1
51,388.3,375.1
52,388.3,375.1
53,388.3,375.1
54,388.3,375.1
55,388.3,375.1
56,388.3,375.1
57,388.3,375.1
58,388.3,375.1
59,388.3,375.1
60,386.3,371.8
61,386.3,371.8
62,386.3,371.8
63,386.3,371.8
64,386.3,371.8
65,386.3,371.8
66,386.3,371.8
67,386.3,371.8
68,386.3,371.8
69,386.3,371.8
70,386.3,371.8
71,386.3,371.8
72,386.3,371.8
73,386.3,371.8
74,386.3,371.8
75,386.3,371.8
76,386.3,371.8
77,386.3,371.8
78,386.3,371.8
79,386.3,371.8
80,386.3,371.8
81,386.3,371.8
82,386.3,371.8
83,386.3,371.8
84,386.3,371.8
85,386.3,371.8
86,386.3,371.8
87,386.3,371.8
88,386.3,371.8
89,386.3,371.8
90,386.3,371.8
91,382.6,373.9
92,382.6,373.9
93,382.6,373.9
94,382.6,373.9
95,382.6,373.9
96,382.6,373.9
97,382.6,373.9
98,382.6,373.9
99,382.6,373.9
100,382.6,373.9
101,382.6,373.9
102,382.6,373.9
103,382.6,373.9
104,382.6,373.9
105,382.6,373.9
106,382.6,373.9
107,382.6,373.9
108,382.6,373.9
109,382.6,373.9
110,382.6,373.9
111,382.6,373.9
112,382.6,373.9
113,382.6,373.9
114,382.6,373.9
115,382.6,373.9
116,382.6,373.9
117,382.6,373.9
118,382.6,373.9
119,382.6,373.9
120,382.6,373.9
121,381.1,374.4
122,381.1,374.4
123,381.1,374.4
124,381.1,374.4
125,381.1,374.4
126,381.1,374.4
127,381.1,374.4
128,381.1,374.4
129,381.1,374.4
130,381.1,374.4
131,381.1,374.4
132,381.1,374.4
133,381.1,374.4
134,381.1,374.4
135,381.1,374.4
136,381.1,374.4
137,381.1,374.4
138,381.1,374.4
139,381.1,374.4
140,381.1,374.4
141,381.1,374.4
142,381.1,374.4
143,381.1,374.4
144,381.1,374.4
145,381.1,374.4
146,381.1,374.4
147,381.1,374.4
148,381.1,374.4
149,381.1,374.4
150,381.1,374.4
151,381.1,374.4
152,383,374.3
153,383,374.3
154,383,374.3
