Julian Day,Evap(mm),Allocation Demand Between Dam and Saleyards,Allocation demand between Te Ngawai and Saleyards Bridge,Allocation below Saleyards
1,5.488011762,3.5,0.25,2.5
2,5.462566605,3.5,0.25,2.5
3,5.437159431,3.5,0.25,2.5
4,5.411784327,3.5,0.25,2.5
5,5.386435376,3.5,0.25,2.5
6,5.361106666,3.5,0.25,2.5
7,5.335792279,3.5,0.25,2.5
8,5.310486302,3.5,0.25,2.5
9,5.28518282,3.5,0.25,2.5
10,5.259875917,3.5,0.25,2.5
11,5.234559679,3.5,0.25,2.5
12,5.20922819,3.5,0.25,2.5
13,5.183875536,3.5,0.25,2.5
14,5.158495801,3.5,0.25,2.5
15,5.133083071,3.5,0.25,2.5
16,5.107631431,3.5,0.25,2.5
17,5.082134965,3.5,0.25,2.5
18,5.05658776,3.5,0.25,2.5
19,5.030983899,3.5,0.25,2.5
20,5.005317468,3.5,0.25,2.5
21,4.979582552,3.5,0.25,2.5
22,4.953773236,3.5,0.25,2.5
23,4.927883605,3.5,0.25,2.5
24,4.901928784,3.5,0.25,2.5
25,4.875930863,3.5,0.25,2.5
26,4.849894377,3.5,0.25,2.5
27,4.823823862,3.5,0.25,2.5
28,4.797723854,3.5,0.25,2.5
29,4.771598886,3.5,0.25,2.5
30,4.745453495,3.5,0.25,2.5
31,4.719292215,3.5,0.25,2.5
32,4.693119581,3.5,0.25,2.5
33,4.666940129,3.5,0.25,2.5
34,4.640758394,3.5,0.25,2.5
35,4.614578911,3.5,0.25,2.5
36,4.588406215,3.5,0.25,2.5
37,4.562244841,3.5,0.25,2.5
38,4.536099324,3.5,0.25,2.5
39,4.5099742,3.5,0.25,2.5
40,4.483874003,3.5,0.25,2.5
41,4.457803269,3.5,0.25,2.5
42,4.431766533,3.5,0.25,2.5
43,4.40576833,3.5,0.25,2.5
44,4.379813195,3.5,0.25,2.5
45,4.353905663,3.5,0.25,2.5
46,4.32805027,3.5,0.25,2.5
47,4.302184784,3.5,0.25,2.5
48,4.276249803,3.5,0.25,2.5
49,4.25025411,3.5,0.25,2.5
50,4.224206484,3.5,0.25,2.5
51,4.198115708,3.5,0.25,2.5
52,4.171990561,3.5,0.25,2.5
53,4.145839826,3.5,0.25,2.5
54,4.119672283,3.5,0.25,2.5
55,4.093496714,3.5,0.25,2.5
56,4.067321898,3.5,0.25,2.5
57,4.041156618,3.5,0.25,2.5
58,4.015009655,3.5,0.25,2.5
59,3.988889789,3.5,0.25,2.5
60,3.962805802,3.5,0.25,2.5
61,3.936766474,3.5,0.25,2.468085113
62,3.910780587,3.5,0.25,2.425531921
63,3.884856922,3.5,0.25,2.382978729
64,3.859004259,3.5,0.25,2.340425537
65,3.833231381,3.5,0.25,2.297872345
66,3.807547067,3.5,0.25,2.255319153
67,3.781960099,3.5,0.25,2.212765961
68,3.756479258,3.5,0.25,2.170212769
69,3.731113326,3.5,0.25,2.127659577
70,3.705609173,3.5,0.25,2.085106385
71,3.679733067,3.5,0.25,2.042553193
72,3.653522885,3.5,0.25,2.000000001
73,3.627016503,3.5,0.244791667,1.957446809
74,3.600251796,3.5,0.239583333,1.914893617
75,3.57326664,3.5,0.234375,1.872340426
76,3.546098912,3.5,0.229166667,1.829787234
77,3.518786486,3.5,0.223958333,1.787234043
78,3.49136724,3.489361702,0.21875,1.744680851
79,3.463879049,3.404255319,0.213541667,1.70212766
80,3.436359788,3.319148936,0.208333333,1.659574468
81,3.408847334,3.234042553,0.203125,1.617021277
82,3.381379562,3.14893617,0.197916667,1.574468085
83,3.353994349,3.063829787,0.192708333,1.531914894
84,3.326729571,2.978723404,0.1875,1.489361702
85,3.299623102,2.893617021,0.182291667,1.446808511
86,3.27271282,2.808510638,0.177083333,1.404255319
87,3.2460366,2.723404255,0.171875,1.361702128
88,3.219632318,2.638297872,0.166666667,1.319148936
89,3.19353785,2.553191489,0.161458333,1.276595745
90,3.167791072,2.468085106,0.15625,1.234042553
91,3.142429859,2.382978723,0.151041667,1.191489362
92,3.117492088,2.29787234,0.145833333,1.14893617
93,3.09266613,2.212765957,0.140625,1.106382979
94,3.067635639,2.127659574,0.135416667,1.063829787
95,3.042431417,2.042553191,0.130208333,1.021276596
96,3.017084267,1.957446809,0.125,0.978723404
97,2.99162499,1.872340426,0.119791667,0.936170213
98,2.966084389,1.787234043,0.114583333,0.893617021
99,2.940493266,1.70212766,0.109375,0.85106383
100,2.914882423,1.617021277,0.104166667,0.808510638
101,2.889282662,1.531914894,0.098958333,0.765957447
102,2.863724784,1.446808511,0.09375,0.723404255
103,2.838239593,1.361702128,0.088541667,0.680851064
104,2.81285789,1.276595745,0.083333333,0.638297872
105,2.787610477,1.191489362,0.078125,0.595744681
106,2.762528156,1.106382979,0.072916667,0.553191489
107,2.73764173,1.021276596,0.067708333,0.510638298
108,2.712982,0.936170213,0.0625,0.468085106
109,2.688579769,0.85106383,0.057291667,0.425531915
110,2.664465838,0.765957447,0.052083333,0.382978723
111,2.640671009,0.680851064,0.046875,0.340425532
112,2.617226086,0.595744681,0.041666667,0.29787234
113,2.594161869,0.510638298,0.036458333,0.255319149
114,2.571509161,0.425531915,0.03125,0.212765957
115,2.549298764,0.340425532,0.026041667,0.170212766
116,2.52725526,0.255319149,0.020833333,0.127659574
117,2.505106361,0.170212766,0.015625,0.085106383
118,2.482887559,0.085106383,0.010416667,0.042553191
119,2.46063435,0,0.005208333,0
120,2.438382226,0,0,0
121,2.416166683,0,0,0
122,2.394023214,0,0,0
123,2.371987314,0,0,0
124,2.350094476,0,0,0
125,2.328380195,0,0,0
126,2.306879964,0,0,0
127,2.285629277,0,0,0
128,2.26466363,0,0,0
129,2.244018515,0,0,0
130,2.223729427,0,0,0
131,2.20383186,0,0,0
132,2.184361308,0,0,0
