Julian Day,Level1,Level2
1,387.5,387.5
2,387.5,387.5
3,387.5,387.5
4,387.5,387.5
5,387.5,387.5
6,387.5,387.5
7,387.5,387.5
8,387.5,387.5
9,387.5,387.5
10,387.5,387.5
11,387.5,387.5
12,387.5,387.5
13,387.5,387.5
14,387.5,387.5
15,387.5,387.5
16,387.5,387.5
17,387.5,387.5
18,387.5,387.5
19,387.5,387.5
20,387.5,387.5
21,387.5,387.5
22,387.5,387.5
23,387.5,387.5
24,387.5,387.5
25,387.5,387.5
26,387.5,387.5
27,387.5,387.5
28,387.5,387.5
29,387.5,387.5
30,387.5,387.5
31,387.5,387.5
32,388.3,388.3
33,388.3,388.3
34,388.3,388.3
35,388.3,388.3
36,388.3,388.3
37,388.3,388.3
38,388.3,388.3
39,388.3,388.3
40,388.3,388.3
41,388.3,388.3
42,388.3,388.3
43,388.3,388.3
44,388.3,388.3
45,388.3,388.3
46,388.3,388.3
47,388.3,388.3
48,388.3,388.3
49,388.3,388.3
50,388.3,388.3
51,388.3,388.3
52,388.3,388.3
53,388.3,388.3
54,388.3,388.3
55,388.3,388.3
56,388.3,388.3
57,388.3,388.3
58,388.3,388.3
59,388.3,388.3
60,386.3,386.3
61,386.3,386.3
62,386.3,386.3
63,386.3,386.3
64,386.3,386.3
65,386.3,386.3
66,386.3,386.3
67,386.3,386.3
68,386.3,386.3
69,386.3,386.3
70,386.3,386.3
71,386.3,386.3
72,386.3,386.3
73,386.3,386.3
74,386.3,386.3
75,386.3,386.3
76,386.3,386.3
77,386.3,386.3
78,386.3,386.3
79,386.3,386.3
80,386.3,386.3
81,386.3,386.3
82,386.3,386.3
83,386.3,386.3
84,386.3,386.3
85,386.3,386.3
86,386.3,386.3
87,386.3,386.3
88,386.3,386.3
89,386.3,386.3
90,386.3,386.3
91,382.6,382.6
92,382.6,382.6
93,382.6,382.6
94,382.6,382.6
95,382.6,382.6
96,382.6,382.6
97,382.6,382.6
98,382.6,382.6
99,382.6,382.6
100,382.6,382.6
101,382.6,382.6
102,382.6,382.6
103,382.6,382.6
104,382.6,382.6
105,382.6,382.6
106,382.6,382.6
107,382.6,382.6
108,382.6,382.6
109,382.6,382.6
110,382.6,382.6
111,382.6,382.6
112,382.6,382.6
113,382.6,382.6
114,382.6,382.6
115,382.6,382.6
116,382.6,382.6
117,382.6,382.6
118,382.6,382.6
119,382.6,382.6
120,382.6,382.6
121,381.1,381.1
122,381.1,381.1
123,381.1,381.1
124,381.1,381.1
125,381.1,381.1
126,381.1,381.1
127,381.1,381.1
128,381.1,381.1
129,381.1,381.1
130,381.1,381.1
131,381.1,381.1
132,381.1,381.1
133,381.1,381.1
134,381.1,381.1
135,381.1,381.1
136,381.1,381.1
137,381.1,381.1
138,381.1,381.1
139,381.1,381.1
140,381.1,381.1
141,381.1,381.1
142,381.1,381.1
143,381.1,381.1
144,381.1,381.1
145,381.1,381.1
146,381.1,381.1
147,381.1,381.1
148,381.1,381.1
149,381.1,381.1
150,381.1,381.1
151,381.1,381.1
152,383,383
153,383,383
154,383,383
155,383,383
156,383,383
157,383,383
158,383,383
159,383,383
160,383,383
161,383,383
162,383,383
163,383,383
164,383,383
165,383,383
166,383,383
167,383,383
168,383,383
169,383,383
170,383,383
171,383,383
172,383,383
173,383,383
174,383,383
175,383,383
176,383,383
177,383,383
178,383,383
179,383,383
180,383,383
181,383,383
182,384.5,384.5
183,384.5,384.5
184,384.5,384.5
185,384.5,384.5
186,384.5,384.5
187,384.5,384.5
188,384.5,384.5
189,384.5,384.5
190,384.5,384.5
191,384.5,384.5
192,384.5,384.5
193,384.5,384.5
194,384.5,384.5
195,384.5,384.5
196,384.5,384.5
197,384.5,384.5
198,384.5,384.5
199,384.5,384.5
200,384.5,384.5
201,384.5,384.5
202,384.5,384.5
203,384.5,384.5
204,384.5,384.5
205,384.5,384.5
206,384.5,384.5
207,384.5,384.5
208,384.5,384.5
209,384.5,384.5
210,384.5,384.5
211,384.5,384.5
212,384.5,384.5
213,387.5,387.5
214,387.5,387.5
215,387.5,387.5
216,387.5,387.5
217,387.5,387.5
218,387.5,387.5
219,387.5,387.5
220,387.5,387.5
221,387.5,387.5
222,387.5,387.5
223,387.5,387.5
224,387.5,387.5
225,387.5,387.5
226,387.5,387.5
227,387.5,387.5
228,387.5,387.5
229,387.5,387.5
230,387.5,387.5
231,387.5,387.5
232,387.5,387.5
233,387.5,387.5
234,387.5,387.5
235,387.5,387.5
236,387.5,387.5
237,387.5,387.5
238,387.5,387.5
239,387.5,387.5
240,387.5,387.5
241,387.5,387.5
242,387.5,387.5
243,387.5,387.5
244,387.9,387.9
245,387.9,387.9
246,387.9,387.9
247,387.9,387.9
248,387.9,387.9
249,387.9,387.9
250,387.9,387.9
251,387.9,387.9
252,387.9,387.9
253,387.9,387.9
254,387.9,387.9
255,387.9,387.9
256,387.9,387.9
257,387.9,387.9
258,387.9,387.9
259,387.9,387.9
260,387.9,387.9
261,387.9,387.9
262,387.9,387.9
263,387.9,387.9
264,387.9,387.9
265,387.9,387.9
266,387.9,387.9
267,387.9,387.9
268,387.9,387.9
269,387.9,387.9
270,387.9,387.9
271,387.9,387.9
272,387.9,387.9
273,387.9,387.9
274,389,389
275,389,389
276,389,389
277,389,389
278,389,389
279,389,389
280,389,389
281,389,389
282,389,389
283,389,389
284,389,389
285,389,389
286,389,389
287,389,389
288,389,389
289,389,389
290,389,389
291,389,389
292,389,389
293,389,389
294,389,389
295,389,389
296,389,389
297,389,389
298,389,389
299,389,389
300,389,389
301,389,389
302,389,389
303,389,389
304,389.3,389.3
305,389.3,389.3
306,389.3,389.3
307,389.3,389.3
308,389.3,389.3
309,389.3,389.3
310,389.3,389.3
311,389.3,389.3
312,389.3,389.3
313,389.3,389.3
314,389.3,389.3
315,389.3,389.3
316,389.3,389.3
317,389.3,389.3
318,389.3,389.3
319,389.3,389.3
320,389.3,389.3
321,389.3,389.3
322,389.3,389.3
323,389.3,389.3
324,389.3,389.3
325,389.3,389.3
326,389.3,389.3
327,389.3,389.3
328,389.3,389.3
329,389.3,389.3
330,389.3,389.3
331,389.3,389.3
332,389.3,389.3
333,389.3,389.3
334,388.5,388.5
335,388.5,388.5
336,388.5,388.5
337,388.5,388.5
338,388.5,388.5
339,388.5,388.5
340,388.5,388.5
341,388.5,388.5
342,388.5,388.5
343,388.5,388.5
344,388.5,388.5
345,388.5,388.5
346,388.5,388.5
347,388.5,388.5
348,388.5,388.5
349,388.5,388.5
350,388.5,388.5
351,388.5,388.5
352,388.5,388.5
353,388.5,388.5
354,388.5,388.5
355,388.5,388.5
356,388.5,388.5
357,388.5,388.5
358,388.5,388.5
359,388.5,388.5
360,388.5,388.5
361,388.5,388.5
362,388.5,388.5
363,388.5,388.5
364,388.5,388.5
365,388.5,388.5
366,388.5,388.5
