Julian Day,Level0,Level1,Level2
1,3.5,3.4,3.4
2,3.5,3.4,3.4
3,3.5,3.4,3.4
4,3.5,3.4,3.4
5,3.5,3.4,3.4
6,3.5,3.4,3.4
7,3.5,3.4,3.4
8,3.5,3.4,3.4
9,3.5,3.4,3.4
10,3.5,3.4,3.4
11,3.5,3.4,3.4
12,3.5,3.4,3.4
13,3.5,3.4,3.4
14,3.5,3.4,3.4
15,3.5,3.4,3.4
16,3.5,3.4,3.4
17,3.5,3.4,3.4
18,3.5,3.4,3.4
19,3.5,3.4,3.4
20,3.5,3.4,3.4
21,3.5,3.4,3.4
22,3.5,3.4,3.4
23,3.5,3.4,3.4
24,3.5,3.4,3.4
25,3.5,3.4,3.4
26,3.5,3.4,3.4
27,3.5,3.4,3.4
28,3.5,3.4,3.4
29,3.5,3.4,3.4
30,3.5,3.4,3.4
31,3.5,3.4,3.4
32,3.5,3.4,3.4
33,3.5,3.4,3.4
34,3.5,3.4,3.4
35,3.5,3.4,3.4
36,3.5,3.4,3.4
37,3.5,3.4,3.4
38,3.5,3.4,3.4
39,3.5,3.4,3.4
40,3.5,3.4,3.4
41,3.5,3.4,3.4
42,3.5,3.4,3.4
43,3.5,3.4,3.4
44,3.5,3.4,3.4
45,3.5,3.4,3.4
46,3.5,3.4,3.4
47,3.5,3.4,3.4
48,3.5,3.4,3.4
49,3.5,3.4,3.4
50,3.5,3.4,3.4
51,3.5,3.4,3.4
52,3.5,3.4,3.4
53,3.5,3.4,3.4
54,3.5,3.4,3.4
55,3.5,3.4,3.4
56,3.5,3.4,3.4
57,3.5,3.4,3.4
58,3.5,3.4,3.4
59,3.5,3.4,3.4
60,7.5,6.4,6.4
61,7.5,6.4,6.4
62,7.5,6.4,6.4
63,7.5,6.4,6.4
64,7.5,6.4,6.4
65,7.5,6.4,6.4
66,7.5,6.4,6.4
67,7.5,6.4,6.4
68,7.5,6.4,6.4
69,7.5,6.4,6.4
70,7.5,6.4,6.4
71,7.5,6.4,6.4
72,7.5,6.4,6.4
73,7.5,6.4,6.4
74,7.5,6.4,6.4
75,7.5,6.4,6.4
76,7.5,6.4,6.4
77,7.5,6.4,6.4
78,7.5,6.4,6.4
79,7.5,6.4,6.4
80,7.5,6.4,6.4
81,7.5,6.4,6.4
82,7.5,6.4,6.4
83,7.5,6.4,6.4
84,7.5,6.4,6.4
85,7.5,6.4,6.4
86,7.5,6.4,6.4
87,7.5,6.4,6.4
88,7.5,6.4,6.4
89,7.5,6.4,6.4
90,7.5,6.4,6.4
91,8,8,8
92,8,8,8
93,8,8,8
94,8,8,8
95,8,8,8
96,8,8,8
97,8,8,8
98,8,8,8
99,8,8,8
100,8,8,8
101,8,8,8
102,8,8,8
103,8,8,8
104,8,8,8
105,8,8,8
106,8,8,8
107,8,8,8
108,8,8,8
109,8,8,8
110,8,8,8
111,8,8,8
112,8,8,8
113,8,8,8
114,8,8,8
115,8,8,8
116,8,8,8
117,8,8,8
118,8,8,8
119,8,8,8
120,8,8,8
121,4.5,4.5,4.5
122,4.5,4.5,4.5
123,4.5,4.5,4.5
124,4.5,4.5,4.5
125,4.5,4.5,4.5
126,4.5,4.5,4.5
127,4.5,4.5,4.5
128,4.5,4.5,4.5
129,4.5,4.5,4.5
130,4.5,4.5,4.5
131,4.5,4.5,4.5
132,4.5,4.5,4.5
133,4.5,4.5,4.5
134,4.5,4.5,4.5
135,4.5,4.5,4.5
136,4.5,4.5,4.5
137,4.5,4.5,4.5
138,4.5,4.5,4.5
139,4.5,4.5,4.5
140,4.5,4.5,4.5
141,4.5,4.5,4.5
142,4.5,4.5,4.5
143,4.5,4.5,4.5
144,4.5,4.5,4.5
145,4.5,4.5,4.5
146,4.5,4.5,4.5
147,4.5,4.5,4.5
148,4.5,4.5,4.5
149,4.5,4.5,4.5
150,4.5,4.5,4.5
151,4.5,4.5,4.5
152,4,4,4
153,4,4,4
154,4,4,4
155,4,4,4
156,4,4,4
157,4,4,4
158,4,4,4
159,4,4,4
160,4,4,4
161,4,4,4
162,4,4,4
163,4,4,4
164,4,4,4
165,4,4,4
166,4,4,4
167,4,4,4
168,4,4,4
169,4,4,4
170,4,4,4
171,4,4,4
172,4,4,4
173,4,4,4
174,4,4,4
175,4,4,4
176,4,4,4
177,4,4,4
178,4,4,4
179,4,4,4
180,4,4,4
181,4,4,4
182,4,4,4
183,4,4,4
184,4,4,4
185,4,4,4
186,4,4,4
187,4,4,4
188,4,4,4
189,4,4,4
190,4,4,4
191,4,4,4
192,4,4,4
193,4,4,4
194,4,4,4
195,4,4,4
196,4,4,4
197,4,4,4
198,4,4,4
199,4,4,4
200,4,4,4
201,4,4,4
202,4,4,4
203,4,4,4
204,4,4,4
205,4,4,4
206,4,4,4
207,4,4,4
208,4,4,4
209,4,4,4
210,4,4,4
211,4,4,4
212,4,4,4
213,4.5,4.5,4.5
214,4.5,4.5,4.5
215,4.5,4.5,4.5
216,4.5,4.5,4.5
217,4.5,4.5,4.5
218,4.5,4.5,4.5
219,4.5,4.5,4.5
220,4.5,4.5,4.5
221,4.5,4.5,4.5
222,4.5,4.5,4.5
223,4.5,4.5,4.5
224,4.5,4.5,4.5
225,4.5,4.5,4.5
226,4.5,4.5,4.5
227,4.5,4.5,4.5
228,4.5,4.5,4.5
229,4.5,4.5,4.5
230,4.5,4.5,4.5
231,4.5,4.5,4.5
232,4.5,4.5,4.5
233,4.5,4.5,4.5
234,4.5,4.5,4.5
235,4.5,4.5,4.5
236,4.5,4.5,4.5
237,4.5,4.5,4.5
238,4.5,4.5,4.5
239,4.5,4.5,4.5
240,4.5,4.5,4.5
241,4.5,4.5,4.5
242,4.5,4.5,4.5
243,4.5,4.5,4.5
244,6,5.3,5.3
245,6,5.3,5.3
246,6,5.3,5.3
247,6,5.3,5.3
248,6,5.3,5.3
249,6,5.3,5.3
250,6,5.3,5.3
251,6,5.3,5.3
252,6,5.3,5.3
253,6,5.3,5.3
254,6,5.3,5.3
255,6,5.3,5.3
256,6,5.3,5.3
257,6,5.3,5.3
258,6,5.3,5.3
259,6,5.3,5.3
260,6,5.3,5.3
261,6,5.3,5.3
262,6,5.3,5.3
263,6,5.3,5.3
264,6,5.3,5.3
265,6,5.3,5.3
266,6,5.3,5.3
267,6,5.3,5.3
268,6,5.3,5.3
269,6,5.3,5.3
270,6,5.3,5.3
271,6,5.3,5.3
272,6,5.3,5.3
273,6,5.3,5.3
274,8.5,7.2,7.2
275,8.5,7.2,7.2
276,8.5,7.2,7.2
277,8.5,7.2,7.2
278,8.5,7.2,7.2
279,8.5,7.2,7.2
280,8.5,7.2,7.2
281,8.5,7.2,7.2
282,8.5,7.2,7.2
283,8.5,7.2,7.2
284,8.5,7.2,7.2
285,8.5,7.2,7.2
286,8.5,7.2,7.2
287,8.5,7.2,7.2
288,8.5,7.2,7.2
289,8.5,7.2,7.2
290,8.5,7.2,7.2
291,8.5,7.2,7.2
292,8.5,7.2,7.2
293,8.5,7.2,7.2
294,8.5,7.2,7.2
295,8.5,7.2,7.2
296,8.5,7.2,7.2
297,8.5,7.2,7.2
298,8.5,7.2,7.2
299,8.5,7.2,7.2
300,8.5,7.2,7.2
301,8.5,7.2,7.2
302,8.5,7.2,7.2
303,8.5,7.2,7.2
304,8.5,7.2,7.2
305,7,6.1,6.1
306,7,6.1,6.1
307,7,6.1,6.1
308,7,6.1,6.1
309,7,6.1,6.1
310,7,6.1,6.1
311,7,6.1,6.1
312,7,6.1,6.1
313,7,6.1,6.1
314,7,6.1,6.1
315,7,6.1,6.1
316,7,6.1,6.1
317,7,6.1,6.1
318,7,6.1,6.1
319,7,6.1,6.1
320,7,6.1,6.1
321,7,6.1,6.1
322,7,6.1,6.1
323,7,6.1,6.1
324,7,6.1,6.1
325,7,6.1,6.1
326,7,6.1,6.1
327,7,6.1,6.1
328,7,6.1,6.1
329,7,6.1,6.1
330,7,6.1,6.1
331,7,6.1,6.1
332,7,6.1,6.1
333,7,6.1,6.1
334,7,6.1,6.1
335,6,5.3,5.3
336,6,5.3,5.3
337,6,5.3,5.3
338,6,5.3,5.3
339,6,5.3,5.3
340,6,5.3,5.3
341,6,5.3,5.3
342,6,5.3,5.3
343,6,5.3,5.3
344,6,5.3,5.3
345,6,5.3,5.3
346,6,5.3,5.3
347,6,5.3,5.3
348,6,5.3,5.3
349,6,5.3,5.3
350,6,5.3,5.3
351,6,5.3,5.3
352,6,5.3,5.3
353,6,5.3,5.3
354,6,5.3,5.3
355,6,5.3,5.3
356,6,5.3,5.3
357,6,5.3,5.3
358,6,5.3,5.3
359,6,5.3,5.3
360,6,5.3,5.3
361,6,5.3,5.3
362,6,5.3,5.3
363,6,5.3,5.3
364,6,5.3,5.3
365,6,5.3,5.3
366,6,5.3,5.3
