Julian Day,Level1,Level2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,17,17
183,17,17
184,17,17
185,17,17
186,17,17
187,17,17
188,17,17
189,17,17
190,17,17
191,17,17
192,17,17
193,17,17
194,17,17
195,17,17
196,17,17
197,17,17
198,17,17
199,17,17
200,17,17
201,17,17
202,17,17
203,17,17
204,17,17
205,17,17
206,17,17
207,17,17
208,17,17
209,17,17
210,17,17
211,17,17
212,17,17
213,22,22
214,22,22
215,22,22
216,22,22
217,22,22
218,22,22
219,22,22
220,22,22
221,22,22
222,22,22
223,22,22
224,22,22
225,22,22
226,22,22
227,22,22
228,22,22
229,22,22
230,22,22
231,22,22
232,22,22
233,22,22
234,22,22
235,22,22
236,22,22
237,22,22
238,22,22
239,22,22
240,22,22
241,22,22
242,22,22
243,22,22
244,20,20
245,20,20
246,20,20
247,20,20
248,20,20
249,20,20
250,20,20
251,20,20
252,20,20
253,20,20
254,20,20
255,20,20
256,20,20
257,20,20
258,20,20
259,20,20
260,20,20
261,20,20
262,20,20
263,20,20
264,20,20
265,20,20
266,20,20
267,20,20
268,20,20
269,20,20
270,20,20
271,20,20
272,20,20
273,20,20
274,15,15
275,15,15
276,15,15
277,15,15
278,15,15
279,15,15
280,15,15
281,15,15
282,15,15
283,15,15
284,15,15
285,15,15
286,15,15
287,15,15
288,15,15
289,15,15
290,15,15
291,15,15
292,15,15
293,15,15
294,15,15
295,15,15
296,15,15
297,15,15
298,15,15
299,15,15
300,15,15
301,15,15
302,15,15
303,15,15
304,15,15
305,7,7
306,7,7
307,7,7
308,7,7
309,7,7
310,7,7
311,7,7
312,7,7
313,7,7
314,7,7
315,7,7
316,7,7
317,7,7
318,7,7
319,7,7
320,7,7
321,7,7
322,7,7
323,7,7
324,7,7
325,7,7
326,7,7
327,7,7
328,7,7
329,7,7
330,7,7
331,7,7
332,7,7
333,7,7
334,7,7
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
