Date,Inflow,Opihi at Rockwood,Te Ana Wai,SnowStorage
14/11/1998,7.081386421,2.632,1.41,6.285527855
15/11/1998,7.110275895,2.392,1.26,6.284964735
16/11/1998,6.514974894,2.219,1.15,5.876296981
17/11/1998,5.468934891,2.039,1.05,5.31598368
18/11/1998,5.192504316,1.957,0.98,5.153345666
19/11/1998,5.170405824,2.024,0.97,4.597336514
20/11/1998,6.430478587,3.483,1.32,6.75850391
21/11/1998,7.264531489,3.475,1.46,6.479481461
22/11/1998,7.15733172,5.026,1.81,6.934499754
23/11/1998,7.392551277,4.674,1.9,6.934499754
24/11/1998,7.19674883,4.278,1.82,7.140690239
25/11/1998,6.472084574,4.086,1.79,6.317026265
26/11/1998,8.041269684,9.163,4.1,7.914439307
27/11/1998,9.666033804,9.724,5.82,8.452280697
28/11/1998,7.942600532,6.604,4.35,8.125746321
29/11/1998,7.477877684,5.137,3.35,6.752070439
30/11/1998,7.677135213,4.573,2.92,6.250864074
1/12/1998,6.783483152,4.522,2.64,4.482088003
2/12/1998,7.517610851,8.889,4.77,4.578675416
3/12/1998,7.941855895,7.826,4.19,4.695475467
4/12/1998,7.796337708,6.458,3.82,4.683354267
5/12/1998,7.224033085,5.528,3.37,4.656064496
6/12/1998,6.326337065,4.83,2.84,4.164276216
7/12/1998,6.000130421,4.38,2.51,4.181168176
8/12/1998,7.604751809,4.409,2.21,4.186700549
9/12/1998,7.272705,3.925,1.95,4.186065066
10/12/1998,6.856625393,3.509,1.66,4.176409443
11/12/1998,6.833057419,3.199,1.49,4.176409443
12/12/1998,5.941438542,3.049,1.35,4.073730226
13/12/1998,5.310018242,2.771,1.24,3.170759285
14/12/1998,4.926233333,2.656,1.13,2.595076861
15/12/1998,4.662008791,2.428,1.07,2.399909204
16/12/1998,4.479757917,2.31,1.03,2.243166314
17/12/1998,4.351375054,2.415,1.05,2.183535785
18/12/1998,4.459536737,2.525,1.11,2.0862545
19/12/1998,7.939498817,10.412,4.38,2.530684519
20/12/1998,8.535084583,6.139,4.16,1.945122218
21/12/1998,6.511231538,4.551,2.92,1.569856051
22/12/1998,5.947981196,3.877,2.4,1.419932807
23/12/1998,4.95898957,3.406,2,1.100594875
24/12/1998,4.602907158,3.229,1.77,1.092878919
25/12/1998,4.337749239,3.001,1.6,1.090394071
26/12/1998,4.018971596,2.702,1.46,1.090391889
27/12/1998,3.739957684,2.409,1.27,1.048423578
28/12/1998,3.608861064,2.191,1.12,0.910416028
29/12/1998,3.514809462,2.034,1,0.735439214
30/12/1998,3.429398791,1.893,0.9,0.589748411
